Year	Labels	'Situk'	'Alsek'	'Taku'	'Stikine'	'Chilkat'	'Ksalmon'	'Andrew'	'Unuk'	'Chickamin'	'Blossom'	'Keta'	'Yakuon'	'Nass'	'Skeena'	'Kitsumkalum'	'Wannock'	'ChuckKill'	'WCVI'	'Marble'	'Burman'	'Tahsis'	'Artlish'	'Kaouk'	'Tahsish'	'Cowichan'	'Nanaimo'	'FraserSp13'	'FraserSp12'	'Nicola12'	'FraserSum13'	'FraserSum03'	'Shuswap04'	'Harrison'	'SkagitSp'	'SkagitSF'	'Stillaguamish'	'Snohomish'	'Green'	'NooksackSp'	'LkWash'	'Hoko'	'QuillSum'	'QuillFall'	'HohSpSum'	'HohFall'	'QueetsSpSum'	'QueetsFa'	'GraysHbrSpr'	'GraysHbrFall'	'ColRUpSpr'	'ColRSum'	'ColRURB'	'Coweeman'	'Lewis'	'Deschutes'	'Nehalem'	'Siletz'	'Siuslaw'	'Umpqua'	'Coquillle'
1975	75	NA	NA	12920	7571	NA	64	507	NA	370	565	611	1500	NA	20319	NA	3000	150	NA	400	200	75	25	75	25	NA	NA	8184	7179	NA	16875	26875	NA	NA	NA	11320	1198	4485	3394	NA	656	NA	NA	NA	NA	NA	NA	NA	NA	4251	NA	NA	29600	94	13859	NA	5197	2062	4427	NA	4408
1976	76	1421	5282	24582	5723	NA	99	404	NA	157	263	253	700	NA	13078	NA	1500	100	NA	400	400	200	25	25	25	NA	NA	10307	4600	NA	13630	4925	NA	NA	NA	14120	2140	5315	3140	NA	719	NA	1300	NA	600	2500	505	1200	600	1836	NA	NA	27700	74	3371	NA	9807	1326	7999	NA	1980
1977	77	1732	12706	29497	11445	NA	204	456	4706	363	433	692	800	13688	29018	NA	1400	550	NA	950	500	150	60	75	100	NA	NA	13261	3675	NA	17240	19600	NA	NA	NA	9218	1475	5565	3804	NA	675	NA	3800	NA	1000	2100	732	3600	800	5195	NA	NA	36060	86	6930	7903	11478	3314	9492	NA	3922
1978	78	808	12034	17124	6835	NA	87	388	5344	308	553	1180	600	15485	22661	NA	2000	500	NA	1500	1000	100	50	50	50	NA	NA	15725	4305	NA	19200	16700	NA	NA	NA	13075	1232	7931	3304	NA	890	NA	2300	NA	1400	1900	1110	2200	1000	4555	NA	NA	25798	62	5363	5393	12059	2062	5872	NA	3543
1979	79	1284	17354	21617	12610	NA	134	327	2783	239	209	1282	400	11253	18488	NA	2000	50	NA	750	650	348	40	60	200	NA	NA	14985	2770	NA	10205	18275	NA	NA	NA	13306	1042	5903	9704	NA	1289	NA	2100	NA	1400	1700	870	3900	400	9381	NA	18797	28926	88	8023	5126	12205	7217	8040	NA	3613
1980	80	905	10862	39239	30573	NA	106	282	4909	445	344	578	600	13476	23429	NA	2000	1	NA	5000	345	373	100	100	200	NA	NA	16521	6255	NA	13625	8350	NA	NA	NA	20058	821	6460	7743	1821	1360	NA	964	6700	800	2200	1038	3200	200	11656	8906	13854	27708	56	16394	4106	5555	3680	10630	NA	3599
1981	81	702	8502	49559	36057	NA	154	536	3532	384	615	990	750	12625	24523	NA	3000	100	NA	3000	300	150	500	100	1000	5782	NA	12274	2975	NA	12202	13120	NA	NA	NA	8283	630	3368	3606	1549	721	NA	815	5963	1498	3100	988	4250	600	7577	14571	8639	19520	38	19297	6070	10752	4435	8724	NA	3864
1982	82	434	9475	23848	40488	NA	394	672	6528	571	1335	2270	1400	7959	17092	NA	750	950	NA	5000	70	125	100	100	1000	5034	NA	15010	5510	NA	15088	6850	NA	NA	NA	9910	773	4379	1840	479	885	NA	1126	7107	1553	4500	781	4150	610	5606	14322	6587	28313	73	8370	5513	5085	3415	10870	NA	5581
1983	83	592	10344	9794	6424	NA	245	366	5436	599	2279	2474	600	13252	23562	NA	1750	1400	NA	1000	475	50	400	300	500	4742	NA	24225	2641	NA	16604	9500	5396	NA	NA	8723	387	4549	3679	510	1332	NA	548	3069	1696	2500	1044	2750	800	5482	14131	6334	45567	40	13540	5491	4431	2136	4186	NA	2871
1984	84	1726	7238	20778	13995	NA	265	389	8876	1102	1966	1836	300	20967	37598	12408	750	575	NA	600	700	12	650	400	1500	5278	NA	30370	6380	NA	13595	15522	7581	120837	NA	12628	374	3762	3353	233	1252	NA	618	9128	1430	1900	958	4350	1128	21058	12537	13984	52266	164	7132	2779	20341	3461	11168	NA	4031
